location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
80,76,M2,658.122,0,2,1,1,5,0,720,0.675,0.45
58,74,M2,350.342,0,2,1,0,0,0,720,0.675,0.45
47,35,M1,666.902,2,2,1,0,4,4.5,720,0.675,0.45
53,74,M2,488.045,1,2,1,0,6,0,720,0.675,0.45
48,26,M2,248.73,0,2,1,0,2,0,720,0.675,0.45
43,21,M2,693.561,0,2,1,0,1,0,720,0.675,0.45
51,37,M2,448.506,0,2,1,0,3,0,720,0.675,0.45
79,59,M2,328.893,0,2,1,1,0,0,720,0.675,0.45
2,82,M2,578.148,0,2,1,1,3,0,720,0.675,0.45
55,27,M2,667.53,0,2,1,1,6,0,720,0.675,0.45
57,26,M2,674.243,1,2,1,0,2,0,720,0.675,0.45
26,51,M2,477.578,1,2,1,0,6,0,720,0.675,0.45
82,98,M2,335.764,0,2,1,1,2,0,720,0.675,0.45
30,43,M1,572.264,2,2,1,0,1,4,720,0.675,0.45
30,29,M2,632.121,0,2,1,1,4,0,720,0.675,0.45
25,96,M2,433.219,0,2,1,1,5,0,720,0.675,0.45
21,49,M2,657.399,0,2,1,0,2,0,720,0.675,0.45
11,95,M2,599.806,0,2,1,1,3,0,720,0.675,0.45
49,41,M2,427.146,0,2,1,0,1,0,720,0.675,0.45
29,42,M1,220.423,2,2,1,1,2,1,720,0.675,0.45
58,51,M1,292.399,2,2,1,0,4,7.5,720,0.675,0.45
70,51,M2,396.993,0,2,1,1,0,0,720,0.675,0.45
30,30,M2,280.595,0,2,1,1,0,0,720,0.675,0.45
62,11,M2,437.676,0,2,1,1,0,0,720,0.675,0.45
56,34,M2,410.335,0,2,1,0,3,0,720,0.675,0.45
4,35,M2,503.122,0,2,1,1,3,0,720,0.675,0.45
80,10,M2,238.281,0,2,1,1,4,0,720,0.675,0.45
43,22,M1,395.321,2,2,1,1,3,6,720,0.675,0.45
32,39,M2,581.587,1,2,1,0,6,0,720,0.675,0.45
61,76,M2,319.826,0,2,1,1,1,0,720,0.675,0.45
52,72,M1,215.284,2,2,1,0,5,7.5,720,0.675,0.45
73,16,M2,677.979,0,2,1,1,4,0,720,0.675,0.45
62,64,M1,257.781,2,2,1,0,6,10,720,0.675,0.45
62,56,M2,237.629,0,2,1,0,5,0,720,0.675,0.45
48,33,M1,664.108,2,2,1,1,2,9,720,0.675,0.45
41,70,M2,634.616,0,2,1,1,6,0,720,0.675,0.45
47,76,M2,376.815,1,2,1,0,0,0,720,0.675,0.45
8,21,M2,444.812,0,2,1,1,6,0,720,0.675,0.45
48,25,M2,418.798,1,2,1,1,0,0,720,0.675,0.45
63,53,M2,211.146,0,2,1,0,1,0,720,0.675,0.45
53,2,M2,277.947,0,2,1,1,5,0,720,0.675,0.45
65,53,M2,536.564,1,2,1,0,4,0,720,0.675,0.45
42,61,M2,566.266,0,2,1,0,2,0,720,0.675,0.45
91,20,M2,413.308,0,2,1,1,1,0,720,0.675,0.45
64,40,M2,205.829,0,2,1,1,6,0,720,0.675,0.45
92,82,M2,325.497,0,2,1,1,0,0,720,0.675,0.45
54,75,M2,448.34,0,2,1,0,4,0,720,0.675,0.45
53,76,M2,590.698,0,2,1,0,3,0,720,0.675,0.45
24,38,M2,207.669,0,2,1,1,4,0,720,0.675,0.45
48,29,M2,472.619,0,2,1,0,6,0,720,0.675,0.45
65,43,M2,531.937,0,2,1,0,2,0,720,0.675,0.45
40,70,M2,422.895,0,2,1,1,3,0,720,0.675,0.45
22,45,M2,596.186,0,2,1,0,3,0,720,0.675,0.45
32,30,M2,398.173,0,2,1,0,3,0,720,0.675,0.45
45,19,M2,477.74,0,2,1,1,2,0,720,0.675,0.45
38,68,M2,601.107,0,2,1,1,0,0,720,0.675,0.45
22,55,M2,274.424,0,2,1,0,4,0,720,0.675,0.45
42,68,M2,452.03,0,2,1,0,0,0,720,0.675,0.45
34,32,M1,340.381,2,2,1,0,3,0,720,0.675,0.45
10,94,M2,183.115,0,2,1,1,0,0,720,0.675,0.45
28,24,M2,248.994,0,2,1,1,3,0,720,0.675,0.45
36,66,M2,453.733,0,2,1,0,4,0,720,0.675,0.45
48,31,M2,411.432,0,2,1,0,4,0,720,0.675,0.45
55,44,M2,369.855,0,2,1,0,6,0,720,0.675,0.45
28,42,M2,625.583,0,2,1,1,2,0,720,0.675,0.45
50,79,M2,542.683,0,2,1,0,6,0,720,0.675,0.45
55,76,M2,450.905,1,2,1,0,2,0,720,0.675,0.45
31,27,M2,498.027,0,2,1,1,2,0,720,0.675,0.45
60,54,M1,242.59,2,2,1,0,6,1,720,0.675,0.45
53,73,M1,403.941,2,2,1,0,2,9,720,0.675,0.45
33,30,M2,232.604,0,2,1,0,0,0,720,0.675,0.45
53,79,M2,489.578,0,2,1,0,3,0,720,0.675,0.45
64,68,M2,235.016,0,2,1,0,1,0,720,0.675,0.45
49,33,M2,294.263,0,2,1,0,0,0,720,0.675,0.45
52,81,M2,375.348,0,2,1,1,0,0,720,0.675,0.45
94,11,M2,650.807,0,2,1,1,4,0,720,0.675,0.45
31,42,M2,681.817,0,2,1,0,1,0,720,0.675,0.45
32,32,M2,525.734,0,2,1,0,5,0,720,0.675,0.45
60,47,M2,480.892,0,2,1,1,0,0,720,0.675,0.45
54,38,M2,228.283,0,2,1,0,4,0,720,0.675,0.45
64,52,M2,451.691,0,2,1,0,5,0,720,0.675,0.45
17,17,M2,315.815,0,2,1,1,5,0,720,0.675,0.45
66,62,M2,334.489,0,2,1,0,0,0,720,0.675,0.45
30,37,M1,162.513,2,2,1,0,3,4,720,0.675,0.45
39,65,M2,205.11,0,2,1,1,6,0,720,0.675,0.45
7,88,M2,334.845,0,2,1,1,5,0,720,0.675,0.45
63,65,M1,640.212,2,2,1,0,1,2,720,0.675,0.45
27,38,M2,624.387,0,2,1,1,1,0,720,0.675,0.45
24,79,M2,678.636,0,2,1,1,0,0,720,0.675,0.45
59,49,M2,241.058,0,2,1,0,3,0,720,0.675,0.45
88,12,M2,717.758,0,2,1,1,4,0,720,0.675,0.45
34,60,M2,387.002,0,2,1,0,0,0,720,0.675,0.45
83,19,M2,482.746,0,2,1,1,2,0,720,0.675,0.45
68,71,M2,244.922,0,2,1,0,5,0,720,0.675,0.45
49,79,M2,275.325,0,2,1,0,6,0,720,0.675,0.45
68,96,M2,541.37,0,2,1,1,4,0,720,0.675,0.45
95,81,M2,164.366,0,2,1,1,5,0,720,0.675,0.45
60,96,M2,363.214,0,2,1,1,3,0,720,0.675,0.45
84,19,M2,338.56,0,2,1,1,4,0,720,0.675,0.45
27,6,M2,232.86,0,2,1,1,0,0,720,0.675,0.45
47,28,M2,298.498,0,2,1,0,4,0,720,0.675,0.45
26,71,M2,484.155,0,2,1,1,2,0,720,0.675,0.45
69,95,M2,321.79,0,2,1,1,4,0,720,0.675,0.45
68,13,M2,342.543,0,2,1,1,1,0,720,0.675,0.45
32,60,M2,330.156,0,2,1,1,2,0,720,0.675,0.45
32,41,M2,571.397,0,2,1,0,0,0,720,0.675,0.45
27,23,M2,362.818,0,2,1,1,0,0,720,0.675,0.45
94,49,M2,156.352,0,2,1,1,4,0,720,0.675,0.45
3,36,M2,558.734,0,2,1,1,6,0,720,0.675,0.45
68,22,M2,248.32,0,2,1,1,3,0,720,0.675,0.45
81,2,M2,451.184,0,2,1,1,4,0,720,0.675,0.45
29,65,M2,709.245,0,2,1,1,5,0,720,0.675,0.45
62,9,M2,674.706,0,2,1,1,0,0,720,0.675,0.45
59,30,M2,602.785,0,2,1,0,2,0,720,0.675,0.45
18,51,M2,709.432,0,2,1,1,3,0,720,0.675,0.45
75,10,M2,236.712,0,2,1,1,1,0,720,0.675,0.45
89,88,M2,638.898,0,2,1,1,6,0,720,0.675,0.45
74,95,M2,284.438,0,2,1,1,5,0,720,0.675,0.45
58,27,M2,460.692,1,2,1,1,0,0,720,0.675,0.45
29,36,M2,681.939,0,2,1,0,6,0,720,0.675,0.45
59,31,M2,322.332,2,2,1,0,0,6,720,0.675,0.45
47,24,M1,374.684,2,2,1,1,4,3.5,720,0.675,0.45
38,19,M2,111.83,0,2,1,0,3,0,720,0.675,0.45
40,23,M1,190.185,2,2,1,0,3,4,720,0.675,0.45
72,37,M2,425.085,0,2,1,1,1,0,720,0.675,0.45
55,80,M2,429.261,0,2,1,1,1,0,720,0.675,0.45
51,20,M2,378.754,0,2,1,1,4,0,720,0.675,0.45
36,22,M2,631.363,0,2,1,1,3,0,720,0.675,0.45
73,54,M2,446.898,0,2,1,1,4,0,720,0.675,0.45
23,58,M2,339.665,0,2,1,0,2,0,720,0.675,0.45
72,23,M2,377.662,0,2,1,1,1,0,720,0.675,0.45
29,70,M2,406.102,0,2,1,1,2,0,720,0.675,0.45
36,4,M2,113.821,0,2,1,1,3,0,720,0.675,0.45
13,8,M2,263.225,0,2,1,1,0,0,720,0.675,0.45
85,36,M2,678.593,0,2,1,1,0,0,720,0.675,0.45
12,3,M2,100.893,0,2,1,1,2,0,720,0.675,0.45
35,3,M2,248.629,0,2,1,1,3,0,720,0.675,0.45
19,79,M2,708.161,0,2,1,1,1,0,720,0.675,0.45
44,82,M2,340.093,0,2,1,1,4,0,720,0.675,0.45
55,40,M2,596.085,0,2,1,0,3,0,720,0.675,0.45
33,88,M2,213.104,0,2,1,1,4,0,720,0.675,0.45
28,39,M2,441.187,0,2,1,1,0,0,720,0.675,0.45
20,32,M2,266.169,0,2,1,1,0,0,720,0.675,0.45
97,82,M2,191.099,0,2,1,1,1,0,720,0.675,0.45
4,88,M2,418.616,0,2,1,1,5,0,720,0.675,0.45
92,46,M2,287.53,0,2,1,1,5,0,720,0.675,0.45
70,86,M2,191.691,0,2,1,1,5,0,720,0.675,0.45
47,26,M2,253.394,0,2,1,1,6,0,720,0.675,0.45
21,46,M2,337.866,0,2,1,1,3,0,720,0.675,0.45
16,83,M1,100.016,0,2,1,1,2,0,720,0.675,0.45
50,30,M1,628.153,2,2,1,0,4,9,720,0.675,0.45
77,20,M2,110.913,0,2,1,1,3,0,720,0.675,0.45
83,87,M2,199.664,0,2,1,1,1,0,720,0.675,0.45
93,8,M2,680.698,0,2,1,1,1,0,720,0.675,0.45
17,20,M2,697.756,0,2,1,1,3,0,720,0.675,0.45
66,57,M2,222.079,0,2,1,1,0,0,720,0.675,0.45
10,4,M2,403.038,0,2,1,1,6,0,720,0.675,0.45
37,68,M2,267.84,0,2,1,1,4,0,720,0.675,0.45
52,73,M2,78.6252,0,2,1,0,3,0,720,0.675,0.45
77,39,M2,718.862,0,2,1,1,3,0,720,0.675,0.45
30,36,M2,154.707,0,2,1,0,2,0,720,0.675,0.45
4,69,M2,247.012,0,2,1,1,4,0,720,0.675,0.45
45,75,M2,197.226,0,2,1,0,0,0,720,0.675,0.45
98,51,M2,667.511,0,2,1,1,3,0,720,0.675,0.45
6,45,M2,249.967,0,2,1,1,5,0,720,0.675,0.45
45,76,M2,155.239,0,2,1,0,3,0,720,0.675,0.45
28,63,M2,285.889,0,2,1,1,4,0,720,0.675,0.45
8,2,M2,91.2051,0,2,1,1,6,0,720,0.675,0.45
84,22,M2,510.065,0,2,1,1,3,0,720,0.675,0.45
98,6,M1,454.661,0,2,1,1,6,0,720,0.675,0.45
91,77,M2,207.747,0,2,1,1,5,0,720,0.675,0.45
68,92,M2,337.555,0,2,1,1,0,0,720,0.675,0.45
11,12,M2,630.854,0,2,1,1,0,0,720,0.675,0.45
97,94,M2,137.862,0,2,1,1,2,0,720,0.675,0.45
8,96,M2,270.327,0,2,1,1,4,0,720,0.675,0.45
13,3,M2,523.92,0,2,1,1,2,0,720,0.675,0.45
65,29,M2,411.924,0,2,1,1,1,0,720,0.675,0.45
75,26,M2,154.715,0,2,1,1,4,0,720,0.675,0.45
14,63,M2,249.621,0,2,1,1,2,0,720,0.675,0.45
86,26,M2,686.494,0,2,1,1,1,0,720,0.675,0.45
18,16,M2,51.1788,0,2,1,1,4,0,720,0.675,0.45
32,25,M2,279.039,0,2,1,0,6,0,720,0.675,0.45
64,22,M2,391.201,0,2,1,1,2,0,720,0.675,0.45
58,76,M2,348.205,0,2,1,0,4,0,720,0.675,0.45
35,96,M2,371.159,0,2,1,1,4,0,720,0.675,0.45
91,30,M2,192.594,0,2,1,1,2,0,720,0.675,0.45
79,53,M2,213.756,0,2,1,1,0,0,720,0.675,0.45
38,20,M2,243.588,0,2,1,1,2,0,720,0.675,0.45
97,77,M2,337.905,0,2,1,1,1,0,720,0.675,0.45
47,19,M2,666.393,0,2,1,1,0,0,720,0.675,0.45
6,1,M2,466.793,0,2,1,1,0,0,720,0.675,0.45
91,96,M2,76.3368,0,2,1,1,2,0,720,0.675,0.45
94,68,M2,691.442,0,2,1,1,1,0,720,0.675,0.45
94,40,M2,682.538,0,2,1,1,1,0,720,0.675,0.45
9,74,M2,693.763,0,2,1,1,1,0,720,0.675,0.45
16,32,M2,312.197,0,2,1,1,3,0,720,0.675,0.45
19,86,M2,685.39,0,2,1,1,4,0,720,0.675,0.45
94,62,M2,345.675,0,2,1,1,0,0,720,0.675,0.45
14,5,M2,347.53,0,2,1,1,2,0,720,0.675,0.45
4,1,M2,292.142,0,2,1,1,4,0,720,0.675,0.45
28,94,M2,541.573,0,2,1,1,2,0,720,0.675,0.45
3,11,M2,563.192,0,2,1,1,2,0,720,0.675,0.45
5,25,M2,627.101,0,2,1,1,2,0,720,0.675,0.45
5,12,M2,167.792,0,2,1,1,3,0,720,0.675,0.45
95,29,M2,700.687,0,2,1,1,0,0,720,0.675,0.45
96,6,M2,193.88,0,2,1,1,6,0,720,0.675,0.45
13,19,M2,675.625,0,2,1,1,1,0,720,0.675,0.45
98,18,M2,411.305,0,2,1,1,2,0,720,0.675,0.45
71,95,M2,530.293,0,2,1,1,1,0,720,0.675,0.45
98,86,M2,514.51,0,2,1,1,0,0,720,0.675,0.45
5,64,M2,374.437,0,2,1,1,0,0,720,0.675,0.45
86,96,M2,297.72,0,2,1,1,1,0,720,0.675,0.45
20,8,M2,274.868,0,2,1,1,0,0,720,0.675,0.45
3,38,M2,271.417,0,2,1,1,1,0,720,0.675,0.45
8,91,M2,370.563,0,2,1,1,0,0,720,0.675,0.45
85,78,M2,527.415,0,2,1,1,1,0,720,0.675,0.45
34,93,M2,696.793,0,2,1,1,4,0,720,0.675,0.45
90,80,M0,164.187,0,2,1,1,6,0,720,0.675,0.45
93,89,M2,650.364,0,2,1,1,6,0,720,0.675,0.45
2,11,M2,376.727,0,2,1,1,5,0,720,0.675,0.45
89,79,M2,260.918,0,2,1,1,4,0,720,0.675,0.45
26,5,M2,345.457,0,2,1,1,1,0,720,0.675,0.45
51,3,M2,651.515,0,2,1,1,3,0,720,0.675,0.45
28,96,M0,177.79,0,2,1,1,3,0,720,0.675,0.45
85,16,M0,167.186,0,2,1,1,4,0,720,0.675,0.45
3,9,M0,635.982,0,2,1,1,2,0,720,0.675,0.45
50,4,M2,72.8863,0,2,1,1,0,0,720,0.675,0.45
